variable,sector,outcome,selected,lasso_coef,enet_coef
broadband_availability,Digital and Technologies,lq_emp,1,0.13005674548007712,0.12390923747903788
4g_area_coverage,Digital and Technologies,lq_emp,1,0.011937894899520938,0.022382669341656173
net_additions,Digital and Technologies,lq_emp,1,0.054748447959861994,0.058703404729147396
related_variety,Digital and Technologies,lq_emp,0,-0.0,-0.0023913141531159343
level_3+_qualifications,Digital and Technologies,lq_bus,1,0.12442662111334031,0.11217516597761383
gcse_by_age_19,Digital and Technologies,lq_bus,1,0.06446832284526752,0.06310836992719376
apprenticeship_starts,Digital and Technologies,lq_bus,0,-0.0,-0.023526758800800726
apprenticeship_achievements,Digital and Technologies,lq_bus,1,-0.06957839523664387,-0.04857202656417444
fe_and_skills_participation,Digital and Technologies,lq_bus,1,-0.012705622137611358,-0.013782193592048828
new_enterprises,Digital and Technologies,lq_bus,0,-0.0,-0.0
deaths_of_enterprises,Digital and Technologies,lq_bus,0,-0.0,-0.0
active_enterprises,Digital and Technologies,lq_bus,0,0.0,0.0
high_growth_enterprises,Digital and Technologies,lq_bus,1,0.029314390110580003,0.03095477599689692
broadband_availability,Digital and Technologies,lq_bus,1,0.07231167828589344,0.06907899334314882
4g_area_coverage,Digital and Technologies,lq_bus,1,0.013535487493867522,0.01655293142839387
net_additions,Digital and Technologies,lq_bus,1,0.0003222929785108902,0.00220965300784566
related_variety,Digital and Technologies,lq_bus,1,-0.05568108050020508,-0.05344111261239735
level_3+_qualifications,Digital and Technologies,growth_emp,1,0.03054239743581915,0.0098422840354554
gcse_by_age_19,Digital and Technologies,growth_emp,0,0.008572243428211156,-0.0
apprenticeship_starts,Digital and Technologies,growth_emp,0,0.015533599352683107,-0.0
apprenticeship_achievements,Digital and Technologies,growth_emp,1,-0.03962641771872896,-0.01492323787446904
fe_and_skills_participation,Digital and Technologies,growth_emp,0,0.0076242391872128916,0.0
new_enterprises,Digital and Technologies,growth_emp,0,0.08130864709404587,0.0
deaths_of_enterprises,Digital and Technologies,growth_emp,0,0.15722763659282002,0.0
active_enterprises,Digital and Technologies,growth_emp,0,-0.32471392924558895,-0.0
high_growth_enterprises,Digital and Technologies,growth_emp,1,0.12519345431219087,0.030105909214930556
broadband_availability,Digital and Technologies,growth_emp,0,-0.017113450145302925,-0.0
4g_area_coverage,Digital and Technologies,growth_emp,0,-0.013245611156291798,-0.0
net_additions,Digital and Technologies,growth_emp,1,0.03854174987583691,0.024188890999059097
related_variety,Digital and Technologies,growth_emp,1,0.03549659530856684,0.012211004499913905
level_3+_qualifications,Digital and Technologies,growth_bus,1,0.010425323358528707,0.010669121341419613
gcse_by_age_19,Digital and Technologies,growth_bus,1,-0.0012788452601885868,-0.0011537721701165894
apprenticeship_starts,Digital and Technologies,growth_bus,1,-0.0019274889342283741,-0.001813441288424407
apprenticeship_achievements,Digital and Technologies,growth_bus,1,-0.00598939782788971,-0.005798471904717241
fe_and_skills_participation,Digital and Technologies,growth_bus,1,-0.0021722398561467727,-0.0026637177799257363
new_enterprises,Digital and Technologies,growth_bus,1,0.07527789334374817,0.07769315085071093
deaths_of_enterprises,Digital and Technologies,growth_bus,1,0.02382867083702614,0.02772801574013271
active_enterprises,Digital and Technologies,growth_bus,1,-0.11516117338717119,-0.1224786472173944
high_growth_enterprises,Digital and Technologies,growth_bus,1,0.047855151416996033,0.04927432499004043
broadband_availability,Digital and Technologies,growth_bus,1,-0.014384626183358949,-0.014794895238926948
4g_area_coverage,Digital and Technologies,growth_bus,1,-0.007840678319108374,-0.007963544429098827
net_additions,Digital and Technologies,growth_bus,1,0.011641955107640028,0.011630295018334853
related_variety,Digital and Technologies,growth_bus,1,0.020706631802590237,0.020940094222925327
level_3+_qualifications,Digital and Technologies,cagr_bus,1,0.0015482748446189608,0.001801997863107594
gcse_by_age_19,Digital and Technologies,cagr_bus,1,-0.00044382445150619853,-0.00028549319437601257
apprenticeship_starts,Digital and Technologies,cagr_bus,1,-0.00024647366464045756,-0.00011912639176655906
apprenticeship_achievements,Digital and Technologies,cagr_bus,1,-0.0013541729797725867,-0.0011417841519189838
fe_and_skills_participation,Digital and Technologies,cagr_bus,1,-0.00020162067683300857,-0.0007348262337017767
new_enterprises,Digital and Technologies,cagr_bus,1,0.00938106270280085,0.012189665282184273
deaths_of_enterprises,Digital and Technologies,cagr_bus,1,0.0009561866634883809,0.004993712211867983
active_enterprises,Digital and Technologies,cagr_bus,1,-0.011906866015132923,-0.019812186750024847
high_growth_enterprises,Digital and Technologies,cagr_bus,1,0.0064125322368692485,0.007918325478056576
broadband_availability,Digital and Technologies,cagr_bus,1,-0.00200464281930989,-0.00244224887203346
4g_area_coverage,Digital and Technologies,cagr_bus,1,-0.0013495834134887791,-0.0014729908684306806
