sector,dep_var,model_type,feature,importance
Advanced Manufacturing,cagr_bus,regression,size_micro_share,0.014328957394275305
Advanced Manufacturing,cagr_bus,regression,public_transport_to_employer,0.07748072707353709
Advanced Manufacturing,cagr_bus,regression,drive_to_employer,0.009927127310801176
Advanced Manufacturing,cagr_bus,regression,cycle_to_employer,0.11248758506425571
Advanced Manufacturing,lq_emp_binary,classification,new_enterprises,0.039633221822600935
Advanced Manufacturing,lq_emp_binary,classification,deaths_of_enterprises,0.026243270718378585
Advanced Manufacturing,lq_emp_binary,classification,active_enterprises,0.03170710927946562
Advanced Manufacturing,lq_emp_binary,classification,high_growth_enterprises,0.014669104903807774
Advanced Manufacturing,lq_emp_binary,classification,broadband_availability,0.0190427439913176
Advanced Manufacturing,lq_emp_binary,classification,4g_area_coverage,0.018174908093338892
Advanced Manufacturing,lq_emp_binary,classification,gcse_by_age_19,0.0261383698843682
Advanced Manufacturing,lq_emp_binary,classification,early_years_comms,0.02405165981599436
Advanced Manufacturing,lq_emp_binary,classification,early_years_literacy,0.009551338338882241
Advanced Manufacturing,lq_emp_binary,classification,early_years_maths,0.007779815583854313
Advanced Manufacturing,lq_emp_binary,classification,apprenticeship_starts,0.11231963081995472
Advanced Manufacturing,lq_emp_binary,classification,apprenticeship_achievements,0.089260858507704
Advanced Manufacturing,lq_emp_binary,classification,level_3+_qualifications,0.03986823664432189
Advanced Manufacturing,lq_emp_binary,classification,fe_and_skills_participation,0.0369984298678043
Advanced Manufacturing,lq_emp_binary,classification,smokers,0.03069647887589936
Advanced Manufacturing,lq_emp_binary,classification,reception_obesity,0.016500053922343834
Advanced Manufacturing,lq_emp_binary,classification,year_6_obesity,0.035634134412916366
Advanced Manufacturing,lq_emp_binary,classification,adult_obesity,0.026304104403028165
Advanced Manufacturing,lq_emp_binary,classification,cancer_diagnosis,0.02090602785487247
Advanced Manufacturing,lq_emp_binary,classification,under_75_mortality_rate,0.014696280394188067
Advanced Manufacturing,lq_emp_binary,classification,life_satisfaction,0.00937538785023453
Advanced Manufacturing,lq_emp_binary,classification,worthwhile,0.009630881255825617
Advanced Manufacturing,lq_emp_binary,classification,happiness,0.011218639620783857
Advanced Manufacturing,lq_emp_binary,classification,anxiety,0.010817598781030072
Advanced Manufacturing,lq_emp_binary,classification,net_additions,0.007396077544155255
Advanced Manufacturing,lq_emp_binary,classification,related_variety,0.03922921207535036
Advanced Manufacturing,lq_emp_binary,classification,size_large_share,0.02386390441162667
Advanced Manufacturing,lq_emp_binary,classification,size_micro_share,0.1531596946783829
Advanced Manufacturing,lq_emp_binary,classification,public_transport_to_employer,0.025151190359260903
Advanced Manufacturing,lq_emp_binary,classification,drive_to_employer,0.02655579975666218
Advanced Manufacturing,lq_emp_binary,classification,cycle_to_employer,0.04342583553164602
Advanced Manufacturing,lq_bus_binary,classification,new_enterprises,0.014930970355491988
Advanced Manufacturing,lq_bus_binary,classification,deaths_of_enterprises,0.014963271936152722
Advanced Manufacturing,lq_bus_binary,classification,active_enterprises,0.010747659274042762
Advanced Manufacturing,lq_bus_binary,classification,high_growth_enterprises,0.01350094170704973
Advanced Manufacturing,lq_bus_binary,classification,broadband_availability,0.008708002057215338
Advanced Manufacturing,lq_bus_binary,classification,4g_area_coverage,0.025634650300239543
Advanced Manufacturing,lq_bus_binary,classification,gcse_by_age_19,0.02672216147677872
Advanced Manufacturing,lq_bus_binary,classification,early_years_comms,0.013811894153961996
Advanced Manufacturing,lq_bus_binary,classification,early_years_literacy,0.011250358287543697
Advanced Manufacturing,lq_bus_binary,classification,early_years_maths,0.012185405168782677
