variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
nvq_level3,0.011273457427644523,0.003464334857335438,3.2541477345280074,0.0011373311673300154,0.004483485876880359,0.018063428978408687,***,Digital and Technologies,lq_emp,293,0.631
gcse_age19,0.0160542237529201,0.0045174331489787264,3.5538375939330815,0.0003796535819582817,0.0072002174783544325,0.024908230027485767,***,Digital and Technologies,lq_emp,293,0.631
apprenticeship_achievements,-0.0004437630674115498,0.000236897692022828,-1.873226638986368,0.061037095251373755,-0.0009080740117969544,2.0547876973854746e-05,*,Digital and Technologies,lq_emp,293,0.631
housing_net_additions,0.007824142873243439,0.004572778634508363,1.7110259425633978,0.08707632387820324,-0.0011383385596672006,0.016786624306154078,*,Digital and Technologies,lq_emp,293,0.631
size_large_share,71.43479952732758,15.278117861037135,4.675628253235528,2.930550566453226e-06,41.49023876813668,101.37936028651849,***,Digital and Technologies,lq_emp,293,0.631
size_micro_share,-4.545015028849643,0.8612253732340045,-5.277381705305043,1.3104274307994084e-07,-6.2329857429603575,-2.8570443147389284,***,Digital and Technologies,lq_emp,293,0.631
related_variety,1.0733419636924315,0.530783292719595,2.022184907503225,0.043157252870969144,0.033025826366444244,2.1136581010184186,**,Digital and Technologies,lq_emp,293,0.631
within_sector_diversity,-0.334206880218027,0.16689159593527148,-2.0025387039120197,0.0452268248029852,-0.6613083975735704,-0.007105362862483644,**,Digital and Technologies,lq_emp,293,0.631
n_universities_feecap_lad,-0.01308423640263321,0.014387819766557345,-0.9093967407797151,0.36314074159087506,-0.0412838449611391,0.015115372155872674,,Digital and Technologies,lq_emp,293,0.631
enterprise_birth_rate,-1.9268319640126386,0.8248296436255267,-2.3360362699178423,0.019489351289231682,-3.5434683588996787,-0.3101955691255984,**,Digital and Technologies,lq_bus,279,0.706
broadband,0.0031558596253176583,0.0011486898705083113,2.747355666957476,0.006007794517439087,0.0009044688497153899,0.005407250400919926,***,Digital and Technologies,lq_bus,279,0.706
coverage_4g,0.006946697309411737,0.008936483930145084,0.7773412187290708,0.4369574826214253,-0.010568489342093583,0.024461883960917058,,Digital and Technologies,lq_bus,279,0.706
cycle_to_employer,-0.028626805622872283,0.007228309990264551,-3.960373263104141,7.483270082396363e-05,-0.042794032872881874,-0.014459578372862695,***,Digital and Technologies,lq_bus,279,0.706
nvq_level3,0.011522346854597004,0.002166345595206468,5.318794415855353,1.0445708330329607e-07,0.007276387509925339,0.015768306199268667,***,Digital and Technologies,lq_bus,279,0.706
gcse_age19,0.011772102567695193,0.0028651570915983944,4.1087110379444685,3.9787352739219924e-05,0.006156497858112811,0.017387707277277575,***,Digital and Technologies,lq_bus,279,0.706
apprenticeship_achievements,-0.0007000608486277226,0.00017158200947348036,-4.080036425589967,4.502864419244532e-05,-0.0010363554075907546,-0.00036376628966469074,***,Digital and Technologies,lq_bus,279,0.706
unemployment_rate,-0.013498047607063728,0.014007988838360245,-0.9635963993703318,0.33524831273139344,-0.04095320122608888,0.013957106011961422,,Digital and Technologies,lq_bus,279,0.706
housing_net_additions,0.0019973311739348043,0.002365968364565341,0.8441918344507281,0.3985622167305569,-0.0026398816091743964,0.0066345439570440045,,Digital and Technologies,lq_bus,279,0.706
size_large_share,13.704786256734309,5.642992531089636,2.4286380287106244,0.015155654971789365,2.6447241307701006,24.764848382698517,**,Digital and Technologies,lq_bus,279,0.706
size_micro_share,-0.9089935999766773,0.4125751057919203,-2.2032196979793603,0.027579267603614593,-1.7176259482466438,-0.10036125170671084,**,Digital and Technologies,lq_bus,279,0.706
related_variety,0.8303829719128677,0.2837722335056409,2.9262305252862633,0.0034309659927271316,0.27419961442932117,1.3865663293964143,***,Digital and Technologies,lq_bus,279,0.706
within_sector_diversity,-0.4149075036776429,0.10677129982921416,-3.8859459830619976,0.00010193217208164882,-0.6241754059254303,-0.20563960142985552,***,Digital and Technologies,lq_bus,279,0.706
enterprise_birth_rate,0.210170107458092,0.11697477014486041,1.7967131476113987,0.07238117062626717,-0.019096229125685565,0.43943644404186954,*,Digital and Technologies,gd_emp,279,0.225
enterprise_death_rate,0.20892695953439416,0.10794948003500582,1.9354142277169228,0.0529394847653856,-0.0026501334840428603,0.4205040525528312,*,Digital and Technologies,gd_emp,279,0.225
broadband,-0.00023747915620305848,0.00014866215469595524,-1.5974419090638927,0.1101672368832027,-0.0005288516252712528,5.389331286513588e-05,,Digital and Technologies,gd_emp,279,0.225
cycle_to_employer,0.002222950427032942,0.00091116791304946,2.439671541541955,0.014700621303869118,0.00043709413358747687,0.004008806720478407,**,Digital and Technologies,gd_emp,279,0.225
nvq_level3,0.0004038157727950772,0.0002549049113860303,1.584182001827085,0.11315230782087517,-9.578867300391619e-05,0.0009034202185940706,,Digital and Technologies,gd_emp,279,0.225
