variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
smokers,-0.00841037241711359,0.01336546715793208,-0.6292613881529938,0.5291779452235196,-0.034606206683213375,0.0177854618489862,,Digital and Technologies,lq_emp,96,0.753
reception_obesity,-0.021656222072676375,0.03158564906035438,-0.6856348600370791,0.4929433931599785,-0.08356295665929236,0.040250512513939615,,Digital and Technologies,lq_emp,96,0.753
year_6_obesity,-0.021165983573334934,0.016739613174767,-1.26442489156441,0.20607756331914995,-0.05397502251101045,0.011643055364340578,,Digital and Technologies,lq_emp,96,0.753
cancer_diagnosis,0.013548336275823967,0.009105454354914987,1.4879363234093617,0.136767687285427,-0.004298026322682799,0.03139469887433073,,Digital and Technologies,lq_emp,96,0.753
worthwhile,-0.40679870153022546,0.24137576853263484,-1.685333635613986,0.09192421972868384,-0.8798865145948662,0.0662891115344153,*,Digital and Technologies,lq_emp,96,0.753
net_additions,0.02603845161773958,0.005703222310840596,4.5655684100278,4.981427090609196e-06,0.01486034129266671,0.03721656194281245,***,Digital and Technologies,lq_emp,96,0.753
related_variety,-0.6017894797828054,0.30978430253692374,-1.9426080497125158,0.052063533566227595,-1.2089555557310359,0.005376596165425185,*,Digital and Technologies,lq_emp,96,0.753
size_large_share,111.03182393896667,25.381274994965437,4.374556595797124,1.2167955234496634e-05,61.28543906712737,160.77820881080595,***,Digital and Technologies,lq_emp,96,0.753
size_micro_share,-3.473198599941174,1.002196489896874,-3.4655864742637106,0.0005290763538655851,-5.437467625571507,-1.5089295743108408,***,Digital and Technologies,lq_emp,96,0.753
cycle_to_employer,-0.03649640892421044,0.02212319397069474,-1.6496898672296156,0.09900638370731477,-0.0798570723297658,0.0068642544813449224,*,Digital and Technologies,lq_emp,96,0.753
deaths_of_enterprises,-0.00010174933998419164,5.612864797271388e-05,-1.8127880086057941,0.06986452416267287,-0.00021175946851163796,8.260788543254678e-06,*,Digital and Technologies,lq_bus,96,0.818
broadband_availability,0.0029847159545177953,0.002642419401554255,1.129539070430002,0.2586704974638805,-0.0021943309045784273,0.008163762813614018,,Digital and Technologies,lq_bus,96,0.818
4g_area_coverage,-0.025087558771983834,0.017782074892064594,-1.4108341644191014,0.1582935181557863,-0.05993978513082441,0.009764667586856741,,Digital and Technologies,lq_bus,96,0.818
gcse_by_age_19,0.004967013669077265,0.008148670625537136,0.6095489555696522,0.5421606337365775,-0.011004087278854994,0.020938114617009524,,Digital and Technologies,lq_bus,96,0.818
early_years_literacy,-0.004902903558937188,0.01129238753168232,-0.4341777631330336,0.6641593595486678,-0.027035576420503696,0.01722976930262932,,Digital and Technologies,lq_bus,96,0.818
apprenticeship_starts,-0.00018247654796024076,0.00044603254276393993,-0.4091103909806316,0.6824586510348483,-0.0010566842677103845,0.000691731171789903,,Digital and Technologies,lq_bus,96,0.818
apprenticeship_achievements,-0.00022551119874949978,0.0007885037476828642,-0.2859988927284088,0.7748789696258285,-0.0017709501458827717,0.001319927748383772,,Digital and Technologies,lq_bus,96,0.818
level_3+_qualifications,0.006728025862385131,0.004902183612286793,1.3724548883730223,0.1699218731451042,-0.002880077463299449,0.01633612918806971,,Digital and Technologies,lq_bus,96,0.818
fe_and_skills_achievements,1.680246250791761e-05,1.2564159138478144e-05,1.3373328308505363,0.18111401895538104,-7.822836899529343e-06,4.142776191536456e-05,,Digital and Technologies,lq_bus,96,0.818
smokers,-0.010110019084754153,0.010800277587996647,-0.9360888183087404,0.34922745966350666,-0.031278174180262706,0.0110581360107544,,Digital and Technologies,lq_bus,96,0.818
reception_obesity,-0.031151342504427554,0.02392148735307741,-1.3022326766157395,0.19283685795527494,-0.07803659617308967,0.015733911164234553,,Digital and Technologies,lq_bus,96,0.818
year_6_obesity,-0.005654004349701473,0.012601598698411398,-0.44867357587051526,0.6536671491169075,-0.030352683946214636,0.01904467524681169,,Digital and Technologies,lq_bus,96,0.818
cancer_diagnosis,0.01050528149027481,0.007582186680058162,1.3855213454325324,0.1658931102112957,-0.0043555313266985096,0.02536609430724813,,Digital and Technologies,lq_bus,96,0.818
under_75_mortality_rate,-0.0010823219253985076,0.005850271164846738,-0.18500371946893537,0.8532261182202402,-0.012548642708291303,0.010383998857494286,,Digital and Technologies,lq_bus,96,0.818
life_satisfaction,0.2835375010378219,0.2068470729073972,1.3707590687771443,0.17045007438193682,-0.1218753121682074,0.6889503142438511,,Digital and Technologies,lq_bus,96,0.818
