variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
gcse_by_age_19,0.008695602546600805,0.00342254395840396,2.5406839626556144,0.01106358740296432,0.00198753965262389,0.01540366544057772,**,Digital and Technologies,lq_bus,239,0.767
early_years_comms,0.01288506873008786,0.00789625669171267,1.6317945620500254,0.10272277128359335,-0.0025913099983523712,0.02836144745852809,,Digital and Technologies,lq_bus,239,0.767
early_years_maths,0.0016272665628206872,0.008323087919286863,0.19551236014819295,0.8449918623942212,-0.014685685999141981,0.017940219124783358,,Digital and Technologies,lq_bus,239,0.767
apprenticeship_starts,-0.00012402437390818344,0.00013933646348025878,-0.8901070890589615,0.37340838682998223,-0.0003971188240626712,0.00014907007624630428,,Digital and Technologies,lq_bus,239,0.767
apprenticeship_achievements,-0.00048057305182392333,0.0003225466989157075,-1.4899332513383234,0.13624178748971624,-0.0011127529650309944,0.0001516068613831478,,Digital and Technologies,lq_bus,239,0.767
level_3+_qualifications,0.003526708722139951,0.002148309370683788,1.6416205087898632,0.10066867469276487,-0.0006839002720501822,0.007737317716330084,,Digital and Technologies,lq_bus,239,0.767
fe_and_skills_participation,4.243375436483394e-05,1.713739778086642e-05,2.476090880740973,0.01328297619596815,8.845071925599104e-06,7.602243680406877e-05,**,Digital and Technologies,lq_bus,239,0.767
smokers,0.005533825743878888,0.00420446147422699,1.3161794388653087,0.18811382311379388,-0.002706767319992193,0.01377441880774997,,Digital and Technologies,lq_bus,239,0.767
reception_obesity,0.004490618095662746,0.011461660413932142,0.3917947255010457,0.6952098925794652,-0.0179738235186727,0.026955059709998192,,Digital and Technologies,lq_bus,239,0.767
adult_obesity,-0.0025769736886575335,0.0034479187355322526,-0.7473997754357538,0.4548222809067084,-0.009334770231921632,0.004180822854606565,,Digital and Technologies,lq_bus,239,0.767
cancer_diagnosis,0.00635170923639585,0.003317515657180986,1.9145981188203731,0.05554377523243488,-0.0001505019698266113,0.012853920442618311,*,Digital and Technologies,lq_bus,239,0.767
under_75_mortality_rate,-0.006630097820817702,0.0036617685980194596,-1.8106271992183565,0.07019857895126438,-0.013807032392655568,0.0005468367510201655,*,Digital and Technologies,lq_bus,239,0.767
life_satisfaction,0.11693542841961146,0.06966097941662808,1.6786360082628837,0.09322300436548386,-0.01959758236476558,0.25346843920398854,*,Digital and Technologies,lq_bus,239,0.767
worthwhile,-0.151806736547331,0.06182265813228955,-2.45551940232805,0.014068115826897347,-0.27297691991515083,-0.03063655317951121,**,Digital and Technologies,lq_bus,239,0.767
happiness,0.016215154719399584,0.054353117243730875,0.29832980225747496,0.7654514603910096,-0.09031499752579591,0.12274530696459507,,Digital and Technologies,lq_bus,239,0.767
anxiety,0.03655086951540572,0.030541556992160265,1.1967585517918418,0.23140067786231278,-0.023309482221005866,0.09641122125181731,,Digital and Technologies,lq_bus,239,0.767
net_additions,0.005452446117067104,0.0020865779154994094,2.613104488725548,0.008972386634469766,0.001362828551751601,0.009542063682382607,***,Digital and Technologies,lq_bus,239,0.767
related_variety,-0.47864521947927097,0.11732874354359774,-4.079522246834707,4.512835114013125e-05,-0.708605331176059,-0.248685107782483,***,Digital and Technologies,lq_bus,239,0.767
size_large_share,42.29096296392535,9.952932036032596,4.249095925785427,2.1463499890346325e-05,22.783574632726552,61.79835129512415,***,Digital and Technologies,lq_bus,239,0.767
size_micro_share,-0.9076996096006084,0.4511584588901113,-2.011930823227005,0.04422722967182505,-1.7919539403458211,-0.0234452788553956,**,Digital and Technologies,lq_bus,239,0.767
drive_to_employer,0.32581046424642873,0.10116342497065511,3.220634970998045,0.0012790694818464617,0.12753379475122473,0.5240871337416327,***,Digital and Technologies,lq_bus,239,0.767
cycle_to_employer,-0.1660293031053239,0.03912571900202183,-4.2434824800726165,2.2007756208282297e-05,-0.2427143032185211,-0.08934430299212669,***,Digital and Technologies,lq_bus,239,0.767
