variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
gcse_age19,0.01637398882680926,0.005454740765365881,3.001790466519257,0.002683968465558509,0.005682893381689681,0.027065084271928837,***,Digital and Technologies,lq_emp,294,0.435
apprenticeship_starts,-0.00023684740925204007,0.0002657904568445859,-0.8911057682952496,0.3728724306651736,-0.0007577871321018759,0.0002840923135977958,,Digital and Technologies,lq_emp,294,0.435
apprenticeship_achievements,1.4174735519667582e-05,0.000501692755143115,0.028253817449733824,0.9774597142161348,-0.0009691249958655099,0.000997474466904845,,Digital and Technologies,lq_emp,294,0.435
fe_participation,-2.7010106509934658e-05,2.7648918163061592e-05,-0.9768956004224291,0.3286208401153806,-8.120099032103073e-05,2.7180777301161415e-05,,Digital and Technologies,lq_emp,294,0.435
enterprise_birth_rate,-4.231121640856983,1.7549908522966216,-2.4109080883926204,0.01591285802032924,-7.670840504555615,-0.7914027771583516,**,Digital and Technologies,lq_emp,294,0.435
enterprise_death_rate,1.5362902171864508,1.6874323878280302,0.9104306805227785,0.3625954236855755,-1.7710164893029132,4.843596923675815,,Digital and Technologies,lq_emp,294,0.435
enterprise_high_growth_rate,98.16459086112428,21.610331306439384,4.542484308506343,5.559513596014328e-06,55.80911980652468,140.5200619157239,***,Digital and Technologies,lq_emp,294,0.435
broadband,0.008635808239860241,0.0022240092206379783,3.8829912033291736,0.0001031793022338203,0.004276830266124809,0.012994786213595674,***,Digital and Technologies,lq_emp,294,0.435
coverage_4g,0.004554198552937366,0.015052215899889743,0.3025600073256141,0.7622251962021243,-0.02494760249836769,0.03405599960424242,,Digital and Technologies,lq_emp,294,0.435
housing_net_additions,0.013550203733048449,0.005441657328736794,2.4900876542687302,0.01277115938064262,0.0028847513525158963,0.024215656113581,**,Digital and Technologies,lq_emp,294,0.435
related_variety,2.3250311286280003,0.6574430826180948,3.5364751567073656,0.0004055046379864858,1.0364663648115433,3.613595892444457,***,Digital and Technologies,lq_emp,294,0.435
nvq_level3,0.012441474106428955,0.002064244126236421,6.027133103250025,1.6689355489058889e-09,0.008395629963707216,0.016487318249150694,***,Digital and Technologies,lq_bus,294,0.647
gcse_age19,0.016861234643529226,0.0029077338339641413,5.798754496226412,6.680925462291986e-09,0.011162181052330938,0.022560288234727513,***,Digital and Technologies,lq_bus,294,0.647
apprenticeship_starts,-9.549790957401128e-05,0.00016003044275880396,-0.5967483931663217,0.5506753777427609,-0.00040915181381126573,0.0002181559946632432,,Digital and Technologies,lq_bus,294,0.647
apprenticeship_achievements,-0.0005309209803704358,0.0002983145456066648,-1.7797354778350916,0.07511926141069752,-0.0011156067458239303,5.376478508305866e-05,*,Digital and Technologies,lq_bus,294,0.647
enterprise_birth_rate,-1.7581848448365434,0.9029432896337932,-1.9471708412048896,0.051514256236548185,-3.5279211726008968,0.011551482927810053,*,Digital and Technologies,lq_bus,294,0.647
enterprise_death_rate,1.0727969219190836,1.093659178316147,0.98092435302451,0.32663004712320576,-1.070735678942233,3.2163295227804003,,Digital and Technologies,lq_bus,294,0.647
enterprise_high_growth_rate,29.319692480372456,10.117997490861066,2.897776215783315,0.00375818642395892,9.488781802618131,49.150603158126785,***,Digital and Technologies,lq_bus,294,0.647
broadband,0.005988197817913255,0.0010936491119196202,5.4754287756906885,4.364534877767278e-08,0.0038446849468265847,0.008131710688999925,***,Digital and Technologies,lq_bus,294,0.647
coverage_4g,0.00480577739161426,0.009344220397960706,0.5143047987891081,0.6070389071576308,-0.013508558051993257,0.023120112835221775,,Digital and Technologies,lq_bus,294,0.647
housing_net_additions,0.0030265785067661918,0.0024104983441749226,1.2555820725121236,0.20926753454807479,-0.0016979114326100917,0.007751068446142475,,Digital and Technologies,lq_bus,294,0.647
related_variety,0.9888017260655871,0.27608680663324314,3.581488511253356,0.0003416421640022544,0.44768152845775644,1.5299219236734178,***,Digital and Technologies,lq_bus,294,0.647
nvq_level3,0.0006197427887965765,0.00023505257379898543,2.63661349790866,0.008373818176513153,0.00015904820967712192,0.001080437367916031,***,Digital and Technologies,gd_emp,294,0.156
gcse_age19,-0.0006610942065566764,0.00038824086217868384,-1.7027939893982993,0.08860662808476269,-0.0014220323137536755,9.98439006403228e-05,*,Digital and Technologies,gd_emp,294,0.156
